asset,asset_class,total_signals,buy_signals,sell_signals,hold_signals,buy_accuracy,sell_accuracy,overall_accuracy,avg_confidence,trained_date
AAPL,stock,76,0,14,62,0.0,0.0,0.0,9.70,2026-03-19T01:39:26.250197640+00:00
ABBV,stock,76,9,14,53,0.0,0.0,0.0,10.68,2026-03-19T01:39:26.250197640+00:00
AMD,stock,76,0,32,44,0.0,0.0,0.0,10.51,2026-03-19T01:39:26.250197640+00:00
AMZN,stock,76,0,0,76,0.0,0.0,0.0,7.87,2026-03-19T01:39:26.250197640+00:00
ARM,stock,76,52,7,17,0.0,0.0,0.0,15.11,2026-03-19T01:39:26.250197640+00:00
AUDUSD=X,fx,168,19,115,34,0.0,0.0,0.0,12.95,2026-03-19T01:39:26.250197640+00:00
AVGO,stock,76,37,3,36,0.0,0.0,0.0,13.02,2026-03-19T01:39:26.250197640+00:00
BA,stock,76,2,0,74,0.0,0.0,0.0,7.70,2026-03-19T01:39:26.250197640+00:00
BAC,stock,76,0,8,68,0.0,0.0,0.0,7.61,2026-03-19T01:39:26.250197640+00:00
CAT,stock,76,7,0,69,0.0,0.0,0.0,7.65,2026-03-19T01:39:26.250197640+00:00
COP,stock,76,10,0,66,0.0,0.0,0.0,4.63,2026-03-19T01:39:26.250197640+00:00
COST,stock,76,0,75,1,0.0,0.0,0.0,18.69,2026-03-19T01:39:26.250197640+00:00
CRM,stock,76,37,19,20,0.0,0.0,0.0,15.62,2026-03-19T01:39:26.250197640+00:00
CVX,stock,76,0,69,7,0.0,0.0,0.0,17.87,2026-03-19T01:39:26.250197640+00:00
DE,stock,76,35,7,34,0.0,0.0,0.0,15.21,2026-03-19T01:39:26.250197640+00:00
DIA,stock,76,2,0,74,0.0,0.0,0.0,9.20,2026-03-19T01:39:26.250197640+00:00
EMR,stock,76,39,0,37,0.0,0.0,0.0,14.60,2026-03-19T01:39:26.250197640+00:00
EURGBP=X,fx,168,168,0,0,0.0,0.0,0.0,18.27,2026-03-19T01:39:26.250197640+00:00
EURUSD=X,fx,168,0,120,48,0.0,0.0,0.0,13.29,2026-03-19T01:39:26.250197640+00:00
GBPUSD=X,fx,168,87,1,80,0.0,0.0,0.0,6.64,2026-03-19T01:39:26.250197640+00:00
GD,stock,76,0,0,76,0.0,0.0,0.0,2.57,2026-03-19T01:39:26.250197640+00:00
GE,stock,76,76,0,0,0.0,0.0,0.0,16.73,2026-03-19T01:39:26.250197640+00:00
GOOGL,stock,76,46,0,30,0.0,0.0,0.0,19.07,2026-03-19T01:39:26.250197640+00:00
GS,stock,76,58,1,17,0.0,0.0,0.0,14.68,2026-03-19T01:39:26.250197640+00:00
HD,stock,76,0,73,3,0.0,0.0,0.0,18.60,2026-03-19T01:39:26.250197640+00:00
HON,stock,76,0,49,27,0.0,0.0,0.0,9.76,2026-03-19T01:39:26.250197640+00:00
INTC,stock,76,0,0,76,0.0,0.0,0.0,3.98,2026-03-19T01:39:26.250197640+00:00
JNJ,stock,76,0,54,22,0.0,0.0,0.0,15.38,2026-03-19T01:39:26.250197640+00:00
JPM,stock,76,14,17,45,0.0,0.0,0.0,9.45,2026-03-19T01:39:26.250197640+00:00
LLY,stock,76,7,69,0,0.0,0.0,0.0,18.90,2026-03-19T01:39:26.250197640+00:00
LMT,stock,76,20,37,19,0.0,0.0,0.0,16.27,2026-03-19T01:39:26.250197640+00:00
MA,stock,76,0,76,0,0.0,0.0,0.0,15.12,2026-03-19T01:39:26.250197640+00:00
MCD,stock,76,3,7,66,0.0,0.0,0.0,4.00,2026-03-19T01:39:26.250197640+00:00
META,stock,76,58,1,17,0.0,0.0,0.0,16.23,2026-03-19T01:39:26.250197640+00:00
MMM,stock,76,7,0,69,0.0,0.0,0.0,9.82,2026-03-19T01:39:26.250197640+00:00
MRNA,stock,76,0,57,19,0.0,0.0,0.0,15.08,2026-03-19T01:39:26.250197640+00:00
MSFT,stock,76,12,38,26,0.0,0.0,0.0,11.58,2026-03-19T01:39:26.250197640+00:00
NFLX,stock,76,7,2,67,0.0,0.0,0.0,9.66,2026-03-19T01:39:26.250197640+00:00
NKE,stock,76,27,0,49,0.0,0.0,0.0,10.95,2026-03-19T01:39:26.250197640+00:00
NOC,stock,76,40,0,36,0.0,0.0,0.0,14.43,2026-03-19T01:39:26.250197640+00:00
NVDA,stock,76,0,0,76,0.0,0.0,0.0,7.60,2026-03-19T01:39:26.250197640+00:00
NZDUSD=X,fx,168,120,0,48,0.0,0.0,0.0,13.56,2026-03-19T01:39:26.250197640+00:00
