Asset,Asset Class,Mode,Frequency,Sharpe,Win Rate %,vs B&H %,Trades/yr,Max Drawdown %,Total Return %,B&H Return %
SPY,stock,Academic,Daily,5.65,73.4,245.55,44,2.58,299.57,54.02
SPY,stock,Academic,Weekly,3.86,69.7,116.04,23,5.31,170.07,54.02
SPY,stock,Academic,Monthly,2.33,71.4,9.04,6,4.68,63.06,54.02
SPY,stock,Realistic,Daily,5.26,73.4,153.75,104,2.44,207.77,54.02
SPY,stock,Realistic,Weekly,2.37,69.7,13.92,34,6.66,67.94,54.02
SPY,stock,Realistic,Monthly,1.31,71.4,-18.77,10,12.66,35.26,54.02
SPY,stock,Signal-Only,Daily,0.00,73.4,-54.02,0,0.00,0.00,54.02
SPY,stock,Signal-Only,Weekly,0.00,69.7,-54.02,0,0.00,0.00,54.02
SPY,stock,Signal-Only,Monthly,0.00,71.4,-54.02,0,0.00,0.00,54.02
QQQ,stock,Academic,Daily,5.50,71.1,407.53,46,3.35,470.79,63.26
QQQ,stock,Academic,Weekly,4.02,66.4,201.53,25,6.64,264.79,63.26
QQQ,stock,Academic,Monthly,2.23,68.0,26.94,5,9.03,90.20,63.26
QQQ,stock,Realistic,Daily,5.35,71.1,288.27,115,3.02,351.53,63.26
QQQ,stock,Realistic,Weekly,2.19,66.4,23.38,35,8.67,86.64,63.26
QQQ,stock,Realistic,Monthly,1.12,68.0,-24.30,10,16.38,38.96,63.26
QQQ,stock,Signal-Only,Daily,0.00,71.1,-63.26,0,0.00,0.00,63.26
QQQ,stock,Signal-Only,Weekly,0.00,66.4,-63.26,0,0.00,0.00,63.26
QQQ,stock,Signal-Only,Monthly,0.00,68.0,-63.26,0,0.00,0.00,63.26
XLF,stock,Academic,Daily,5.51,74.4,256.19,34,2.79,308.13,51.94
XLF,stock,Academic,Weekly,4.60,78.3,135.64,19,2.90,187.58,51.94
XLF,stock,Academic,Monthly,1.43,78.3,-19.97,6,10.05,31.97,51.94
XLF,stock,Realistic,Daily,5.45,74.4,186.92,95,2.26,238.86,51.94
XLF,stock,Realistic,Weekly,1.77,78.3,6.16,33,11.98,58.10,51.94
XLF,stock,Realistic,Monthly,0.84,78.3,-46.58,6,4.44,5.36,51.94
