date,portfolio_value_gbp,daily_pct_change,cumulative_pct_change,signals_followed
2026-03-06,153797.00,1.0900,14.7800,0
2026-03-07,175241.00,14.6300,30.7800,0
2026-03-08,175241.00,0.0000,30.7800,0
2026-03-09,175241.00,0.0000,30.7800,0
2026-03-13,175253.50,0.0000,30.7900,74
2026-03-14,175286.50,0.0000,30.8200,74
2026-03-15,175243.86,-0.0100,30.7900,74
2026-03-16,175329.78,0.0200,30.8500,74
2026-03-17,175386.35,0.0100,30.8900,74
2026-03-18,175416.77,-0.0100,30.9100,74
2026-03-19,175203.49,-0.0100,30.7600,74
