Alpha Signal — Data Quality Report
==================================================
Generated: 2026-03-21 20:09

Symbol            Rows Date Range                      GBT Acc Warnings                                
----------------------------------------------------------------------------------------------------
AAPL              1767 2019-03-13 to 2026-03-20      69.0% OK
ABBV              1767 2019-03-13 to 2026-03-20      73.3% OK
AMD               1767 2019-03-13 to 2026-03-20      68.0% OK
AMZN              1767 2019-03-13 to 2026-03-20      69.2% OK
ARM                643 2023-09-14 to 2026-03-20      68.0% OK
AVGO              1767 2019-03-13 to 2026-03-20      71.5% OK
AZN.L             1769 2019-03-20 to 2026-03-20        N/A OK
BA                1767 2019-03-13 to 2026-03-20      67.5% OK
BAC               1767 2019-03-13 to 2026-03-20      70.5% OK
BARC.L            1769 2019-03-20 to 2026-03-20        N/A OK
BP.L              1768 2019-03-20 to 2026-03-20        N/A OK
BT-A.L            1770 2019-03-20 to 2026-03-20        N/A OK
CAT               1767 2019-03-13 to 2026-03-20      71.3% OK
COIN              1241 2021-04-14 to 2026-03-20        N/A OK
COP               1768 2019-03-13 to 2026-03-20      71.2% OK
COST              1767 2019-03-13 to 2026-03-20      69.5% OK
CPER              1761 2019-03-20 to 2026-03-20        N/A OK
CPG.L             1770 2019-03-20 to 2026-03-20        N/A OK
CRM               1767 2019-03-13 to 2026-03-20      69.8% OK
CVX               1767 2019-03-13 to 2026-03-20      70.0% OK
DE                1768 2019-03-13 to 2026-03-20      67.0% OK
DGE.L             1769 2019-03-20 to 2026-03-20        N/A OK
DIA               1767 2019-03-13 to 2026-03-20      69.3% OK
EMR               1767 2019-03-13 to 2026-03-20      69.8% OK
GD                1767 2019-03-13 to 2026-03-20      66.5% OK
GE                1767 2019-03-13 to 2026-03-20      67.0% OK
GLD               1761 2019-03-20 to 2026-03-20        N/A OK
GOOGL             1767 2019-03-13 to 2026-03-20      70.3% OK
GS                1767 2019-03-13 to 2026-03-20      68.8% OK
GSK.L             1770 2019-03-20 to 2026-03-20        N/A OK
HD                1767 2019-03-13 to 2026-03-20      70.0% OK
HON               1767 2019-03-13 to 2026-03-20      68.8% OK
HSBA.L            1769 2019-03-20 to 2026-03-20        N/A OK
IBM               1761 2019-03-21 to 2026-03-20        N/A OK
INTC              1767 2019-03-13 to 2026-03-20      67.2% OK
ISF.L             1769 2019-03-20 to 2026-03-20        N/A OK
JNJ               1767 2019-03-13 to 2026-03-20      71.2% OK
JPM               1767 2019-03-13 to 2026-03-20      69.0% OK
LLOY.L            1770 2019-03-20 to 2026-03-20        N/A OK
LLY               1767 2019-03-13 to 2026-03-20      71.5% OK
LMT               1767 2019-03-13 to 2026-03-20      69.5% OK
MA                1767 2019-03-13 to 2026-03-20      68.7% OK
MCD               1767 2019-03-13 to 2026-03-20      67.2% OK
META              1767 2019-03-13 to 2026-03-20      67.8% OK
MMM               1767 2019-03-13 to 2026-03-20      71.0% OK
MRNA              1768 2019-03-13 to 2026-03-20      72.7% OK
MSFT              1767 2019-03-13 to 2026-03-20      69.5% OK
NFLX              1767 2019-03-13 to 2026-03-20      72.0% OK
NKE               1767 2019-03-13 to 2026-03-20      72.0% OK
NOC               1768 2019-03-13 to 2026-03-20      70.0% OK
NVDA              1767 2019-03-13 to 2026-03-20      69.2% OK
NWG.L             1770 2019-03-20 to 2026-03-20        N/A OK
PFE               1767 2019-03-13 to 2026-03-20      67.7% OK
PLTR              1375 2020-09-30 to 2026-03-20        N/A OK
QCOM              1767 2019-03-13 to 2026-03-20      71.5% OK
QQQ               1767 2019-03-13 to 2026-03-20      68.7% OK
