date,asset,asset_class,signal,confidence,linreg_prob,logreg_prob,gbt_prob,ensemble_prob,trained_date,model_accuracy
2026-03-20,cardano,crypto,HOLD,0.00,82.8000,50.6000,49.1000,60.8333,2026-03-19T01:39:26.250197640+00:00,39.4
2026-03-20,dogecoin,crypto,SELL,0.00,24.0000,23.9000,50.4000,32.7667,2026-03-19T01:39:26.250197640+00:00,41.2
2026-03-20,solana,crypto,HOLD,0.00,23.4000,24.4000,49.3000,32.3667,2026-03-19T01:39:26.250197640+00:00,52.0
2026-03-20,USDINR=X,fx,SELL,19.30,50.9000,38.4000,33.2000,40.8333,2026-03-19T01:39:26.250197640+00:00,70.1
2026-03-20,USDPHP=X,fx,HOLD,9.60,50.2000,22.7000,59.5000,44.1333,2026-03-19T01:39:26.250197640+00:00,71.0
2026-03-20,USDMYR=X,fx,HOLD,5.20,49.9000,38.3000,52.3000,46.8333,2026-03-19T01:39:26.250197640+00:00,73.1
2026-03-20,USDIDR=X,fx,HOLD,11.20,85.0000,27.3000,53.4000,55.2333,2026-03-19T01:39:26.250197640+00:00,76.2
2026-03-20,USDTHB=X,fx,HOLD,1.70,51.6000,49.1000,51.5000,50.7333,2026-03-19T01:39:26.250197640+00:00,68.1
2026-03-20,USDTWD=X,fx,HOLD,9.40,50.5000,74.0000,43.3000,55.9333,2026-03-19T01:39:26.250197640+00:00,75.5
2026-03-20,USDHKD=X,fx,SELL,17.80,50.0000,23.4000,47.4000,40.2667,2026-03-19T01:39:26.250197640+00:00,72.3
2026-03-20,USDKRW=X,fx,BUY,21.70,85.0000,66.2000,38.2000,63.1333,2026-03-19T01:39:26.250197640+00:00,71.3
2026-03-20,USDMXN=X,fx,HOLD,0.30,49.9000,41.4000,56.8000,49.3667,2026-03-19T01:39:26.250197640+00:00,67.6
2026-03-20,USDSGD=X,fx,HOLD,6.30,50.0000,34.9000,53.6000,46.1667,2026-03-19T01:39:26.250197640+00:00,70.5
2026-03-20,EURGBP=X,fx,BUY,19.00,50.0000,83.5000,73.8000,69.1000,2026-03-19T01:39:26.250197640+00:00,70.0
2026-03-20,NZDUSD=X,fx,HOLD,1.10,50.0000,61.8000,41.4000,51.0667,2026-03-19T01:39:26.250197640+00:00,70.5
2026-03-20,USDCAD=X,fx,HOLD,4.60,50.0000,42.8000,62.0000,51.6000,2026-03-19T01:39:26.250197640+00:00,70.9
2026-03-20,USDCHF=X,fx,HOLD,1.20,50.0000,29.1000,68.5000,49.2000,2026-03-19T01:39:26.250197640+00:00,71.6
2026-03-20,AUDUSD=X,fx,HOLD,0.60,50.0000,67.1000,35.5000,50.8667,2026-03-19T01:39:26.250197640+00:00,69.9
2026-03-20,USDJPY=X,fx,BUY,10.40,53.6000,64.8000,49.0000,55.8000,2026-03-19T01:39:26.250197640+00:00,72.4
2026-03-20,GBPUSD=X,fx,HOLD,5.00,50.0000,43.1000,48.9000,47.3333,2026-03-19T01:39:26.250197640+00:00,74.8
2026-03-20,EURUSD=X,fx,HOLD,4.80,50.0000,36.6000,54.7000,47.1000,2026-03-19T01:39:26.250197640+00:00,71.2
2026-03-20,COP,stock,HOLD,4.50,53.7000,40.2000,60.5000,51.4667,2026-03-19T01:39:26.250197640+00:00,70.1
2026-03-20,CVX,stock,HOLD,0.70,42.9000,50.1000,55.0000,49.3333,2026-03-19T01:39:26.250197640+00:00,73.4
2026-03-20,XOM,stock,HOLD,8.80,57.1000,45.1000,59.8000,54.0000,2026-03-19T01:39:26.250197640+00:00,69.4
2026-03-20,MCD,stock,HOLD,9.20,27.8000,64.6000,43.6000,45.3333,2026-03-19T01:39:26.250197640+00:00,67.4
2026-03-20,NKE,stock,HOLD,8.20,53.7000,48.5000,58.4000,53.5333,2026-03-19T01:39:26.250197640+00:00,70.9
2026-03-20,HD,stock,SELL,20.60,20.8000,47.4000,49.0000,39.0667,2026-03-19T01:39:26.250197640+00:00,69.3
2026-03-20,COST,stock,HOLD,12.20,33.3000,56.2000,43.4000,44.3000,2026-03-19T01:39:26.250197640+00:00,67.8
2026-03-20,TGT,stock,HOLD,3.50,48.4000,45.7000,50.0000,48.0333,2026-03-19T01:39:26.250197640+00:00,68.4
2026-03-20,WMT,stock,HOLD,5.30,43.6000,70.7000,45.1000,53.1333,2026-03-19T01:39:26.250197640+00:00,72.0
2026-03-20,EMR,stock,BUY,20.80,51.0000,66.5000,65.3000,60.9333,2026-03-19T01:39:26.250197640+00:00,74.1
2026-03-20,GE,stock,BUY,16.00,83.5000,85.0000,47.3000,71.9333,2026-03-19T01:39:26.250197640+00:00,71.0
2026-03-20,HON,stock,HOLD,0.90,44.6000,57.1000,47.8000,49.8333,2026-03-19T01:39:26.250197640+00:00,68.7
2026-03-20,MMM,stock,BUY,19.40,61.9000,72.9000,48.4000,61.0667,2026-03-19T01:39:26.250197640+00:00,70.8
2026-03-20,DE,stock,HOLD,10.80,63.2000,38.6000,33.7000,45.1667,2026-03-19T01:39:26.250197640+00:00,67.4
2026-03-20,CAT,stock,BUY,21.50,85.0000,57.8000,45.5000,62.7667,2026-03-19T01:39:26.250197640+00:00,72.8
2026-03-20,GD,stock,BUY,16.50,63.4000,67.1000,53.3000,61.2667,2026-03-19T01:39:26.250197640+00:00,67.1
2026-03-20,BA,stock,BUY,18.20,68.1000,84.6000,49.1000,67.2667,2026-03-19T01:39:26.250197640+00:00,70.8
2026-03-20,NOC,stock,BUY,20.30,58.3000,82.7000,48.7000,63.2333,2026-03-19T01:39:26.250197640+00:00,71.6
2026-03-20,RTX,stock,HOLD,5.50,53.5000,56.1000,34.9000,48.1667,2026-03-19T01:39:26.250197640+00:00,70.1
2026-03-20,LMT,stock,HOLD,6.80,45.2000,53.4000,60.1000,52.9000,2026-03-19T01:39:26.250197640+00:00,71.1
2026-03-20,ABBV,stock,BUY,22.70,64.0000,69.0000,57.9000,63.6333,2026-03-19T01:39:26.250197640+00:00,74.1
2026-03-20,MRNA,stock,HOLD,13.00,17.3000,72.0000,41.0000,43.4333,2026-03-19T01:39:26.250197640+00:00,72.7
2026-03-20,PFE,stock,HOLD,6.40,46.1000,39.6000,53.4000,46.3667,2026-03-19T01:39:26.250197640+00:00,69.6
2026-03-20,LLY,stock,HOLD,4.30,32.6000,78.6000,46.6000,52.6000,2026-03-19T01:39:26.250197640+00:00,73.2
2026-03-20,UNH,stock,HOLD,13.30,75.6000,53.8000,42.9000,57.4333,2026-03-19T01:39:26.250197640+00:00,67.6
2026-03-20,JNJ,stock,HOLD,1.00,42.3000,53.0000,55.0000,50.1000,2026-03-19T01:39:26.250197640+00:00,73.2
2026-03-20,MA,stock,SELL,19.20,15.0000,19.4000,32.4000,22.2667,2026-03-19T01:39:26.250197640+00:00,74.6
2026-03-20,V,stock,HOLD,10.70,32.8000,50.1000,50.2000,44.3667,2026-03-19T01:39:26.250197640+00:00,71.3
2026-03-20,WFC,stock,HOLD,0.30,51.6000,58.1000,43.2000,50.9667,2026-03-19T01:39:26.250197640+00:00,70.7
